,A0,A1,A2,A3,A4,A5,A6,A7,B,C,sample_size,seed,time_delta
130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.989,0.011,1100,5,0.00034999847412109375
131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.985,0.015,1200,5,0.00037097930908203125
132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.985,0.015,1300,5,0.00039887428283691406
133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.991,0.009,1400,5,0.0005609989166259766
134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.991,0.009,1500,5,0.0006196498870849609
135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.987,0.013,1600,5,0.0004928112030029297
136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.994,0.006,1700,5,0.0005061626434326172
137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999,0.001,1800,5,0.0005280971527099609
138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.995,0.005,1900,5,0.0007009506225585938
139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.993,0.007,2000,5,0.0008413791656494141
140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.02,2100,5,0.0006148815155029297
141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.989,0.011,2200,5,0.0006380081176757812
142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.976,0.024,2300,5,0.0006639957427978516
143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.974,0.026,2400,5,0.0006818771362304688
144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.973,0.027,2500,5,0.0009801387786865234
145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.04,2600,5,0.0009109973907470703
146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.967,0.033,2700,5,0.0007839202880859375
147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.973,0.027,2800,5,0.0008001327514648438
148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.971,0.029,2900,5,0.0008602142333984375
149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.976,0.024,3000,5,0.0008192062377929688
150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.958,0.042,100,6,5.316734313964844e-05
151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.704,0.296,200,6,8.606910705566406e-05
152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.803,0.197,300,6,0.00011491775512695312
153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.563,0.437,400,6,0.0001461505889892578
154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.485,0.515,500,6,0.00020599365234375
155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.663,0.337,600,6,0.0002701282501220703
156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.587,0.413,700,6,0.0002269744873046875
157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.642,0.358,800,6,0.0002529621124267578
